index,fieldOfView,timepoint,spotChannel,zc,yc,xc,intensityMean,zMin,zMax,yMin,yMax,xMin,xMax,mergePartners,nucleusNumber
3,P0001.zarr,79,0,16.527137137619988,422.5165732477932,667.2129969610728,157.0530303030303,10.527137137619988,22.527137137619988,410.5165732477932,434.5165732477932,655.2129969610728,679.2129969610728,100;101,3
4,P0001.zarr,79,0,16.950424004488077,118.88259896330818,349.6540530977019,161.81065410400436,10.950424004488076,22.95042400448808,106.88259896330818,130.88259896330817,337.6540530977019,361.6540530977019,,2
5,P0001.zarr,79,0,18.177805530982404,445.4564669785048,607.9657421380375,160.33961681087763,12.177805530982404,24.177805530982404,433.4564669785048,457.4564669785048,595.9657421380375,619.9657421380375,,3
6,P0001.zarr,79,0,17.83959674876146,1006.0753359579252,306.5263466292306,160.1254275940707,11.839596748761458,23.83959674876146,994.0753359579252,1018.0753359579252,294.5263466292306,318.5263466292306,102;110,7
7,P0001.zarr,79,0,17.70877472362621,1040.482813665982,290.6567022086824,163.12094117647058,11.70877472362621,23.70877472362621,1028.482813665982,1052.482813665982,278.6567022086824,302.6567022086824,,7
8,P0001.zarr,79,0,17.294947508199503,1701.3423124347908,1665.0076588607058,152.65736930345983,11.294947508199504,23.294947508199503,1689.3423124347908,1713.3423124347908,1653.0076588607058,1677.0076588607058,,4
10,P0001.zarr,79,0,18.5289337545209,28.24453371789589,1634.215648033695,149.63521150882,12.5289337545209,24.5289337545209,16.244533717895894,40.24453371789589,1622.215648033695,1646.215648033695,,0
11,P0001.zarr,79,0,18.266489401564822,533.7770489058973,1747.1225533182217,159.3707150612688,12.266489401564826,24.266489401564822,521.7770489058973,545.7770489058973,1735.1225533182217,1759.1225533182217,121;131,4
12,P0001.zarr,79,0,18.09858176406764,863.1257478224696,984.5327240679828,146.90628445424477,12.09858176406764,24.09858176406764,851.1257478224696,875.1257478224696,972.5327240679828,996.5327240679828,,5
